Month,Revenue,RollingMean,RollingStd,CI_Upper,CI_Lower,CI_Flag
2023-01-01,864262.97,,,,,Within CI
2023-02-01,672499.73,,,,,Within CI
2023-03-01,657819.71,731527.4700000001,115186.41615653991,957292.8456668183,505762.09433318186,Within CI
2023-04-01,726656.34,685658.5933333333,36255.85705245753,756720.07315615,614597.1135105165,Within CI
2023-05-01,754676.69,713050.9133333332,49841.241655547055,810739.7469782054,615362.079688461,Within CI
2023-06-01,843153.91,774828.98,60807.129912201235,894010.9546279144,655647.0053720856,Within CI
2023-07-01,563339.29,720389.9633333334,143023.5648785617,1000716.1504953143,440063.7761713524,Within CI
2023-08-01,773199.18,726564.1266666668,145619.97301533967,1011979.2737767326,441148.9795566011,Within CI
2023-09-01,758546.82,698361.7633333333,117162.17026916346,927999.6170608937,468723.90960577293,Within CI
2023-10-01,683209.07,738318.3566666666,48285.07037453757,832957.0946007603,643679.6187325729,Within CI
2023-11-01,770718.39,737491.4266666666,47402.18837808696,830399.7158877171,644583.1374456162,Within CI
2023-12-01,706208.47,720045.3099999999,45365.88892113564,808962.4522854257,631128.1677145741,Within CI
